icdcode,description1,description2
2923,Psychosis associated with intracranial infection,With other and unspecified encephalitis
2929,Psychosis associated with intracranial infection,With other and unspecified intracranial infection
2930,Psychosis associated with other cerebral condition,With cerebral arteriosclerosis
2931,Psychosis associated with other cerebral condition,With other cerebrovascular disturbances
2932,Psychosis associated with other cerebral condition,With epilepsy
2933,Psychosis associated with other cerebral condition,With intracranial neoplasm
2934,Psychosis associated with other cerebral condition,With degenerative diseases of CNS
2935,Psychosis associated with other cerebral condition,With brain trauma
2939,Psychosis associated with other cerebral condition,Other and unspecified
2940,Psychosis associated with other physical condition,With endochrine disorders
2941,Psychosis associated with other physical condition,With metabolic and nutritional disorders
2942,Psychosis associated with other physical condition,With sytemic infections
2943,Psychosis associated with other physical condition,With drug or poison intoxication
2944,Psychosis associated with other physical condition,With childbirth
2948,Psychosis associated with other physical condition,Other
2949,Psychosis associated with other physical condition,Unspecified
2950,Schizophrenia,Simple type
2951,Schizophrenia,Hebephrenic type
2952,Schizophrenia,Catatonic type
2953,Schizophrenia,Paranoid type
2954,Schizophrenia,Acute schizophrenic episode
2955,Schizophrenia,Latent schizophrenia
2956,Schizophrenia,Residual schizophrenia
2957,Schizophrenia,Schizo-affective type
2958,Schizophrenia,Other
2959,Schizophrenia,Unspecified type
2960,Affective psychoses,Involutional melancholia
2961,Affective psychoses,"Manic-depressive psychosis, manic type"
2962,Affective psychoses,"Manic-depressive psychosis, depressed type"
2963,Affective psychoses,"Manic-depressive psychosis, circular type"
2968,Affective psychoses,Other
2969,Affective psychoses,Unspecified
2970,Paranoid states,Paranoia
2971,Paranoid states,Involutional paraphrenia
2979,Paranoid states,Other
2980,Other psychoses,Reactive depressive psychosis
2981,Other psychoses,Reactive excitation
2982,Other psychoses,Reactive confusion
2983,Other psychoses,Acute paranoid reaction
2989,Other psychoses,reactive psychosis unspecified
2990,Unspecified psychosis,Unspecified psychosis
3000,Neuroses,Anxiety neurosis
3001,Neuroses,Hysterical neurosis
3002,Neuroses,Phobic neurosis
3003,Neuroses,Obsessive compulsive disorders
3004,Neuroses,Depressive neurosis
3005,Neuroses,Neurasthenia
3006,Neuroses,Depersonalization syndrome
3007,Neuroses,Hypochondriacal neurosis
3008,Neuroses,Other neurotic disorders
3009,Neuroses,Unspecified neurosis
3010,Personality disorders,Paranoid
3011,Personality disorders,Affective
3012,Personality disorders,Schizoid
3013,Personality disorders,Explosive
3014,Personality disorders,Anankastic
3015,Personality disorders,Hysterical
3016,Personality disorders,Asthenic
3017,Personality disorders,Antisocial
3018,Personality disorders,Other
3019,Personality disorders,Unspecified
3020,Sexual deviation,Homosexuality
3021,Sexual deviation,Fetishism
3022,Sexual deviation,Paedophilia
3023,Sexual deviation,Transvestitism
3024,Sexual deviation,Exhibitionism
3028,Sexual deviation,Other
3029,Sexual deviation,Unspecified
3030,Alcoholism,Episodic excessive drinking
3031,Alcoholism,Habitual excessive drinking
3032,Alcoholism,Alcoholic addiction
3039,Alcoholism,Other and unspecified
3040,Drug dependence,"Opium, opium alkaloids and their derivatives"
3041,Drug dependence,Synthetic analgesics with morphine like effects
3042,Drug dependence,Barbiturates dependence
3043,Drug dependence,Other hypnotics and sedatives or tranqulizers
3044,Drug dependence,Cocaine
3045,Drug dependence,Cannabis sativa
3046,Drug dependence,Other psycho-stimulants
3047,Drug dependence,Hallucinogenics
3048,Drug dependence,Other
3049,Drug dependence,Unspecified
3050,Physical disorders of presumably psychogenic origin,Skin
3051,Physical disorders of presumably psychogenic origin,Musculoskeletal
3052,Physical disorders of presumably psychogenic origin,Respiratory
3053,Physical disorders of presumably psychogenic origin,Cardiovascular
3054,Physical disorders of presumably psychogenic origin,Haemic and lymphatic
3055,Physical disorders of presumably psychogenic origin,Gastro-intestinal
3056,Physical disorders of presumably psychogenic origin,Genito-urinary
3057,Physical disorders of presumably psychogenic origin,Endocrine
3058,Physical disorders of presumably psychogenic origin,Organs of special sense
3059,Physical disorders of presumably psychogenic origin,Other
3060,Special symptoms not elsewhere classified,Stammering and stuttering
3061,Special symptoms not elsewhere classified,Specific learning disturbance
3062,Special symptoms not elsewhere classified,Tics
3063,Special symptoms not elsewhere classified,Other psychomotor disorders
3064,Special symptoms not elsewhere classified,Specific disorders of sleep
3065,Special symptoms not elsewhere classified,Feeding disturbances
3066,Special symptoms not elsewhere classified,Enuresis
3067,Special symptoms not elsewhere classified,Encopresis
3068,Special symptoms not elsewhere classified,Cephalalgia
3069,Special symptoms not elsewhere classified,Other
3070,Transient situational disturbances,Transient situational disturbances
3080,Behaviour disorders of childhood,Behaviour disorders of childhood
3090,Mental disorders not specified as psychotic associated with physical conditions,With intracranial infections
3091,Mental disorders not specified as psychotic associated with physical conditions,"With drug, poison or systemic intoxication"
3092,Mental disorders not specified as psychotic associated with physical conditions,With brain trauma
3093,Mental disorders not specified as psychotic associated with physical conditions,With circulatory disturbance
3094,Mental disorders not specified as psychotic associated with physical conditions,With epilepsy
3095,Mental disorders not specified as psychotic associated with physical conditions,"With disturbance of metabolism, growth or nutrition"
3096,Mental disorders not specified as psychotic associated with physical conditions,With senile or pre-senile brain disease
3097,Mental disorders not specified as psychotic associated with physical conditions,With intracranial neoplasm
3098,Mental disorders not specified as psychotic associated with physical conditions,With degenerative diseases of CNS
3099,Mental disorders not specified as psychotic associated with physical conditions,Other or unspecified
3100,Borderline mental retardation,Following infections and intoxications
3101,Borderline mental retardation,Following trauma or physical agents
3102,Borderline mental retardation,"With disorders of metabolism, growth or nutrition"
3103,Borderline mental retardation,Associated with gross brain disease (postnatal)
3104,Borderline mental retardation,Associated with diseases and conditions due to (unknown) prenatal influence
3105,Borderline mental retardation,With chromosomal abnormalities
3106,Borderline mental retardation,Associated with prematurity
3107,Borderline mental retardation,Following major psychiatric disorder
3108,Borderline mental retardation,With psychosocial (environmental) deprivation
3109,Borderline mental retardation,Other and unspecified
3110,Mild mental retardation,Following infections and intoxications
3111,Mild mental retardation,Following trauma or physical agents
3112,Mild mental retardation,"With disorders of metabolism, growth or nutrition"
3113,Mild mental retardation,Associated with gross brain disease (postnatal)
3114,Mild mental retardation,Associated with diseases and conditions due to (unknown) prenatal influence
3115,Mild mental retardation,With chromosomal abnormalities
3116,Mild mental retardation,Associated with prematurity
3117,Mild mental retardation,Following major psychiatric disorder
3118,Mild mental retardation,With psycho-social (environmental) deprivation
3119,Mild mental retardation,Other and unspecified
3120,Moderate mental retardation,Following infections and intoxications
3121,Moderate mental retardation,Following trauma or physical agents
3122,Moderate mental retardation,"With disorders of metabolism, growth or nutrition"
3123,Moderate mental retardation,Associated with gross brain disease (postnatal)
3124,Moderate mental retardation,Associated with diseases and conditions due to (unknown) prenatal influence
3125,Moderate mental retardation,With chromosomal abnormalities
3126,Moderate mental retardation,Associated with prematurity
3127,Moderate mental retardation,Following major psychiatric disorder
3128,Moderate mental retardation,With psychosocial (environmental) deprivation
3129,Moderate mental retardation,Other and unspecified
3130,Severe mental retardation,Following infections and intoxications
3131,Severe mental retardation,Following trauma or physical agents
3132,Severe mental retardation,"With disorders of metabolism, growth or nutrition"
3133,Severe mental retardation,Associated with gross brain disease (postnatal)
3134,Severe mental retardation,Associated with diseases and conditions due to (unknown) prenatal influence
3135,Severe mental retardation,With chromosomal abnormalities
3136,Severe mental retardation,Associated with prematurity
3137,Severe mental retardation,Following major psychiatric disorder
3138,Severe mental retardation,With psycho-social (environmental) deprivation
3139,Severe mental retardation,Other and unspecified
3140,Profound mental retardation,Following infections and intoxications
3141,Profound mental retardation,Following trauma or physical agents
3142,Profound mental retardation,"With disorders of metabolism, growth or nutrition"
3143,Profound mental retardation,Associated with gross brain disease (postnatal)
3144,Profound mental retardation,Associated with diseases and conditions due to (unknown) prenatal influence
3145,Profound mental retardation,With chromosomal abnormalities
3146,Profound mental retardation,Associated with prematurity
3147,Profound mental retardation,Following major psychiatric disorder
3148,Profound mental retardation,With psycho-social (environmental) deprivation
3149,Profound mental retardation,Other and unspecified
3150,Unspecified mental retardation,Following infections and intoxications
3151,Unspecified mental retardation,Following trauma or physical agents
3152,Unspecified mental retardation,"With disorders of metabolism, growth or nutrition"
3153,Unspecified mental retardation,Associated with gross brain disease (postnatal)
3154,Unspecified mental retardation,Associated with diseases and conditions due to (unknown) prenatal influence
3155,Unspecified mental retardation,With chromosomal abnormalities
3156,Unspecified mental retardation,Associated with prematurity
3157,Unspecified mental retardation,Following major psychiatric disorder
3158,Unspecified mental retardation,With psycho-social (environmental) deprivation
3159,Unspecified mental retardation,Other and unspecified
3200,Meningitis,H. Influenzae
3201,Meningitis,Pneumococcus
3208,Meningitis,Due to other specified organism
3209,Meningitis,With no organism specified as cause
3210,Phlebitis and thrombo-phlebitis of intracranial venous sinuses,Phlebitis and thrombo-phlebitis of intracranial venous sinuses
3220,Intracranial and intraspinal abscess,Intracranial and intraspinal abscess
3230,"Encephalitis, myelitis, and encephalomyelitis","Encephalitis, myelitis, and encephalomyelitis"
3240,Late effects of intracranial abscess or pyogenic infection,Late effects of intracranial abscess or pyogenic infection
3300,Hereditary neuromuscular disorders,Neuropathic muscular atrophy
3301,Hereditary neuromuscular disorders,Familial progressive spinal muscular atrophy
3302,Hereditary neuromuscular disorders,Amyotonia congenita
3303,Hereditary neuromuscular disorders,Progressive muscular dystrophy
3309,Hereditary neuromuscular disorders,Other
3310,Hereditary diseases of the striato-pallidal system,Hereditary chorea
3311,Hereditary diseases of the striato-pallidal system,Dystonia musculorum deformans
3312,Hereditary diseases of the striato-pallidal system,Progressive familial myoclonic epilepsy
3319,Hereditary diseases of the striato-pallidal system,Other
3320,Hereditary ataxia,Hereditary spinal ataxia
3321,Hereditary ataxia,Hereditary cerebellar ataxia
3329,Hereditary ataxia,Other and unspecified
3330,Other hereditary and familial diseases of nervous system,Amaurotic family idiocy
3331,Other hereditary and familial diseases of nervous system,Progessive cerebral leukodystrophy
3339,Other hereditary and familial diseases of nervous system,Other and unspecified
3400,Multiple sclerosis,Multiple sclerosis
3410,Other demyelinating diseases of central nervous system,Other demyelinating diseases of central nervous system
3420,Paralysis agitans,Paralysis agitans
3430,Cerebral spastic infantile paralysis,Cerebral spastic infantile paralysis
3440,Other cerebral paralysis,Other cerebral paralysis
3450,Epilepsy,Generalised non-convulsive
3451,Epilepsy,Generalised convulsive
3452,Epilepsy,Status epilepticus
3453,Epilepsy,Partial
3459,Epilepsy,Other and unspecified
3460,Migraine,Migraine
3470,Other diseases of brain,Cataplexy and narcolepsy
3479,Other diseases of brain,Other
3480,Motor neurone disease,Amyotrophic lateral sclerosis
3481,Motor neurone disease,Progressive bulbar palsy
3482,Motor neurone disease,Other progressive muscular atrophy
3489,Motor neurone disease,Other and unspecified manifestations
3490,Other diseases of spinal cord,Syringomyelia and syringo-bulbia
3499,Other diseases of spinal cord,Other
3500,Facial paralysis,Facial paralysis
3510,Trigeminal neuralgia,Trigeminal neuralgia
3520,Brachial neuritis,Brachial neuritis
3530,Sciatica,Sciatica
3540,Polyneuritis and polyradiculitis,Polyneuritis and polyradiculitis
3550,Other and unspecified forms of neuralgia and neuritis,Other and unspecified forms of neuralgia and neuritis
3560,Other diseases of cranial nerves,Other diseases of cranial nerves
3570,Other diseases of peripheral nerves except autonomic,Other diseases of peripheral nerves except autonomic
3580,Diseases of peripheral autonomic nervous system,Diseases of peripheral autonomic nervous system
3600,Conjunctivitis and ophthalmia,Conjunctivitis and ophthalmia
3610,Blepharitis,Blepharitis
3620,Hordeolum,Hordeolum
3630,Keratitis,With ulceration
3639,Keratitis,Without mention of ulcer
3640,Iritis,Iritis
3650,Choroiditis,Choroiditis
3660,Other inflammation of uveal tract,Other inflammation of uveal tract
3670,Inflammation of optic nerve and retina,Inflammation of optic nerve and retina
3680,Inflammation of lacrimal glands and ducts,Inflammation of lacrimal glands and ducts
3690,Other inflammatory diseases of eye,Other inflammatory diseases of eye
3700,Refractive errors,Refractive errors
3710,Corneal opacity,Corneal opacity
3720,Pterygium,Pterygium
3730,Strabismus,Strabismus
3740,Cataract,Cataract
3750,Glaucoma,Primary acute
3751,Glaucoma,Chronic (primary)
3752,Glaucoma,Secondary
3759,Glaucoma,Unspecified
3760,Detachment of retina,Detachment of retina
3770,Other diseases of retina and optic nerve,Vascular lesions of retina
3771,Other diseases of retina and optic nerve,Degeneration of retina
3772,Other diseases of retina and optic nerve,Amblyopia
3773,Other diseases of retina and optic nerve,Colour blindness
3779,Other diseases of retina and optic nerve,Other and unspecified
3780,Other diseases of eye,Chalazion
3789,Other diseases of eye,Other
3790,Blindness,"Blindness, both eyes, specifically defined"
3791,Blindness,"Blindness, both eyes, not specifically defined"
3792,Blindness,"Blindness, one eye, specifically defined"
3793,Blindness,"Blindness, one eye, not specifically defined"
3800,Otitis externa,Otitis externa
3810,Otitis media without mention of mastoiditis,Acute
3811,Otitis media without mention of mastoiditis,Chronic
3819,Otitis media without mention of mastoiditis,Unspecified
3820,Otitis media with mastoiditis,Acute
3821,Otitis media with mastoiditis,Chronic
3829,Otitis media with mastoiditis,Unspecified
3830,Mastoiditis without mention of otitis media,Acute
3831,Mastoiditis without mention of otitis media,Chronic
3839,Mastoiditis without mention of otitis media,Unspecified
3840,Other inflammatory diseases of ear,Other inflammatory diseases of ear
3850,Meniere's disease,Meniere's disease
3860,Otosclerosis,Otosclerosis
3870,Other diseases of ear and mastoid process,Cholesteatoma of ear
3871,Other diseases of ear and mastoid process,Wax in ear
3879,Other diseases of ear and mastoid process,Other
3880,Deaf mutism,Deaf mutism
3890,Other deafness,"Deafness, both ears"
3891,Other deafness,"Deafness, one ear, and partial deafness in other"
3892,Other deafness,"Deafness, one ear"
3899,Other deafness,"Impairment of hearing, one or both ears"
3900,Rheumatic fever without mention of heart involvement,Rheumatic fever without mention of heart involvement
3910,Rheumatic fever with heart involvement,Active rheumatic pericarditis
3911,Rheumatic fever with heart involvement,Active rheumatic endocarditis
3912,Rheumatic fever with heart involvement,Active rheumatic myocarditis
3919,Rheumatic fever with heart involvement,Other active rheumatic heart disease
3920,Chorea,With heart involvement
3929,Chorea,Without mention of heart involvement
3930,Diseases of pericardium,Diseases of pericardium
3940,Diseases of mitral valve,Specified as rheumatic
3949,Diseases of mitral valve,Not specified as rheumatic
3950,Diseases of aortic valve,Specified as rheumatic
3959,Diseases of aortic valve,Not specified as rheumatic
3960,Diseases of mitral and aortic valves,Specified as rheumatic
3969,Diseases of mitral and aortic valves,Not specified as rheumatic
3970,Diseases of other endocardial structures,Diseases of other endocardial structures
3980,"Other heart disease, specified as rheumatic","Other heart disease, specified as rheumatic"
4000,Malignant hypertension,Without mention of organ damage
4001,Malignant hypertension,With heart involvement
4002,Malignant hypertension,With cerebrovascular involvement
4003,Malignant hypertension,With renal involvement
4009,Malignant hypertension,With multiple organ involvement
4010,Essential benign hypertension,Essential benign hypertension
4020,Hypertensive heart disease,Hypertensive heart disease
4030,Hypertensive renal disease,Hypertensive renal disease
4040,Hypertensive heart and renal disease,Hypertensive heart and renal disease
4100,Acute myocardial infarction,With hypertensive disease
4109,Acute myocardial infarction,Without mention of hypertensive disease
4110,Other acute and sub-acute forms of ischaemic heart disease,With hypertensive disease
4119,Other acute and sub-acute forms of ischaemic heart disease,Without mention of hypertensive disease
4121,Chronic ischaemic heart disease,Chronic ischaemic heart disease with hypertension
4122,Chronic ischaemic heart disease,Cardiovascular disease with hypertension but no mention of chronic ischaemic heart disease
4123,Chronic ischaemic heart disease,Chronic ischaemic heart disease with no mention of hypertension
4124,Chronic ischaemic heart disease,Cardiovascular disease without mention of hypertension or chronic ischaemic heart disease
4129,Chronic ischaemic heart disease,Other endocardial structures
4130,Angina pectoris,With hypertensive disease
4139,Angina pectoris,Without mention of hypertensive disease
4140,Asymptomatic ischaemic heart disease,With hypertensive disease
4149,Asymptomatic ischaemic heart disease,Without mention of hypertensive disease
4200,"Acute pericarditis, non-rheumatic","Acute pericarditis, non-rheumatic"
4210,Acute and sub-acute endocarditis,Acute and sub-acute bacterial endocarditis
4219,Acute and sub-acute endocarditis,Other
4220,Acute myocarditis,Acute myocarditis
4230,"Chronic disease of pericardium, non-rheumatic","Chronic disease of pericardium, non-rheumatic"
4240,Chronic disease of endocardium,"Mitral valve, non-rheumatic"
4241,Chronic disease of endocardium,"Aortic valve, non-rheumatic"
4249,Chronic disease of endocardium,Other endocardial structures
4250,Cardiomyopathy,Cardiomyopathy
4260,Pulmonary heart disease,Pulmonary heart disease
4270,Symptomatic heart disease,Congestive heart failure
4271,Symptomatic heart disease,Left ventricular failure
4272,Symptomatic heart disease,Heart block
4279,Symptomatic heart disease,Other disorders of heart rhythm
4280,Other myocardial insufficiency,Other myocardial insufficiency
4290,Ill-defined heart disease,Ill-defined heart disease
4300,Subarachnoid haemorrhage,With hypertension (benign)
4309,Subarachnoid haemorrhage,Without mention of hypertension
4310,Cerebral haemorrhage,With hypertension (benign)
4319,Cerebral haemorrhage,Without mention of hypertension
4320,Occlusion of pre-cerebral arteries,With hypertension (benign)
4329,Occlusion of pre-cerebral arteries,Without mention of hypertension
4330,Cerebral thrombosis,With hypertension (benign)
4339,Cerebral thrombosis,Without mention of hypertension
4340,Cerebral embolism,With hypertension (benign)
4349,Cerebral embolism,Without mention of hypertension
4350,Transient cerebral ischaemia,With hypertension (benign)
4359,Transient cerebral ischaemia,Without mention of hypertension
4360,Acute but ill-defined cerebrovascular disease,With hypertension (benign)
4369,Acute but ill-defined cerebrovascular disease,Without mention of hypertension
4370,Generalized ischaemic cerebrovascular disease,With hypertension (benign)
4379,Generalized ischaemic cerebrovascular disease,Without mention of hypertension
4380,Other and ill-defined cerebrovascular disease,With hypertension (benign)
4389,Other and ill-defined cerebrovascular disease,Without mention of hypertension
4400,Arteriosclerosis,Of aorta
4401,Arteriosclerosis,Of renal artery
4402,Arteriosclerosis,Of arteries of the extremities
4403,Arteriosclerosis,Of other specified arteries
4409,Arteriosclerosis,Generalized and unspecified
4410,Aortic aneurysm (non-syphilitic),Dissecting aneurysm (any part)
4411,Aortic aneurysm (non-syphilitic),"Aneurysm, thoracic"
4412,Aortic aneurysm (non-syphilitic),"Aneurysm, abdominal"
4419,Aortic aneurysm (non-syphilitic),Other
4420,Other aneurysm,Other aneurysm
4430,Other peripheral vascular disease,Raynaud's syndrome
4431,Other peripheral vascular disease,"Thrombo-angiitis obliterans ""Buerger's disease"""
4438,Other peripheral vascular disease,Other
4439,Other peripheral vascular disease,Unspecified
4440,Arterial embolism and thrombosis,Of abdominal aorta
4441,Arterial embolism and thrombosis,Of other aorta
4442,Arterial embolism and thrombosis,Of mesenteric artery
4443,Arterial embolism and thrombosis,Of renal artery
4444,Arterial embolism and thrombosis,Of arteries of the extremities
4449,Arterial embolism and thrombosis,Of other unspecified arteries
4450,Gangrene,Arteriosclerotic gangrene
4459,Gangrene,Gangrene not elsewhere classified
4460,Polyarteritis nodosa and allied conditions,Polyarteritis nodosa
4461,Polyarteritis nodosa and allied conditions,Hypersensitivity angiitis
4462,Polyarteritis nodosa and allied conditions,Wegener's granulomatosis
4463,Polyarteritis nodosa and allied conditions,Cranial arteritis
4464,Polyarteritis nodosa and allied conditions,Thrombotic microangiopathy
4469,Polyarteritis nodosa and allied conditions,Other
4470,Other diseases of arteries and arterioles,Other diseases of arteries and arterioles
4480,Diseases of capillaries,Diseases of capillaries
4500,Pulmonary embolism and infarction,Pulmonary embolism and infarction
4510,Phlebitis and thrombophlebitis,Of lower extremities
4519,Phlebitis and thrombophlebitis,Of other and unspecified sites
4520,Portal vein thrombosis,Portal vein thrombosis
4530,Other venous embolism and thrombosis,Other venous embolism and thrombosis
4540,Varicose veins of lower extremities,With ulcer
4549,Varicose veins of lower extremities,Without mention of ulcer
4550,Haemorrhoids,Haemorrhoids
4560,Varicose veins of other sites,Of oesophagus
4561,Varicose veins of other sites,Of scrotum
4569,Varicose veins of other sites,Other
4570,Non-infective disease of lymphatic channels,Non-infective disease of lymphatic channels
4580,Other diseases of circulatory system,Hypotension
4589,Other diseases of circulatory system,Other and unspecified circulatory diseases
4600,Acute nasopharyngitis (common cold),Acute nasopharyngitis (common cold)
4610,Acute sinusitis,Acute sinusitis
4620,Acute pharyngitis,Acute pharyngitis
4630,Acute tonsillitis,Acute tonsillitis
4640,Acute laryngitis and tracheitis,Acute laryngitis and tracheitis
4650,Acute upper respiratory infection of multiple or unspecified sites,Acute upper respiratory infection of multiple or unspecified sites
4660,Acute bronchitis and bronchiolitis,Acute bronchitis and bronchiolitis
4700,Influenza unqualified,Influenza unqualified
4710,Influenza with pneumonia,Influenza with pneumonia
4720,Influenza with other respiratory manifestations,Influenza with other respiratory manifestations
4730,Influenza with digestive manifestations,Influenza with digestive manifestations
4740,Influenza with nervous manifestations,Influenza with nervous manifestations
4800,Viral pneumonia,Viral pneumonia
4810,Pneumococcal pneumonia,Pneumococcal pneumonia
4820,Other bacterial pneumonia,Friedlander's bacillus
4821,Other bacterial pneumonia,Haemophilus influenzae
4822,Other bacterial pneumonia,Streptococcus
4823,Other bacterial pneumonia,Staphylococcus
4829,Other bacterial pneumonia,Other
4830,Pneumonia due to other specified organism,Pneumonia due to other specified organism
4840,Acute interstitial pneumonia,Acute interstitial pneumonia
4850,"Bronchopneumonia, unspecified","Bronchopneumonia, unspecified"
4860,"Pneumonia, unspecified","Pneumonia, unspecified"
4900,"Bronchitis, unqualified","Bronchitis, unqualified"
4910,Chronic bronchitis,Chronic bronchitis
4920,Emphysema,Emphysema
4930,Asthma,Asthma
5000,Hypertrophy of tonsils and adenoids,Hypertrophy of tonsils and adenoids
5010,Peritonsillar abscess,Peritonsillar abscess
5020,Chronic pharyngitis and nasopharyngitis,Chronic pharyngitis
5021,Chronic pharyngitis and nasopharyngitis,Chronic nasopharyngitis
5030,Chronic sinusitis,Chronic sinusitis
5040,Deflected nasal septum,Deflected nasal septum
5050,Nasal polyp,Nasal polyp
5060,Chronic laryngitis,Chronic laryngitis
5070,Hay fever,Hay fever
5080,Other diseases of upper respiratory tract,Other diseases of upper respiratory tract
5100,Empyema,Empyema
5110,Pleurisy,Without mention of effusion or tuberculosis
5111,Pleurisy,"With effusion, with mention of a bacterial cause other than tuberculosis"
5112,Pleurisy,"Other specified forms of effusion, except tuberculosis"
5120,Spontaneous pneumothorax,Spontaneous pneumothorax
5130,Abscess of lung,Abscess of lung
5140,Pulmonary congestion and hypostasis,Pulmonary congestion and hypostasis
5150,Pneumoconiosis due to silica and silicates,Silicosis
5151,Pneumoconiosis due to silica and silicates,Anthracosilicosis
5152,Pneumoconiosis due to silica and silicates,Asbestosis
5159,Pneumoconiosis due to silica and silicates,"Other, including pneumoconiosis unspecified"
5160,Other pneumoconioses and related diseases,Due to inhalation of other inorganic dust
5161,Other pneumoconioses and related diseases,Due to inhalation of other dust
5162,Other pneumoconioses and related diseases,Due to inhalation of fumes
5170,Other chronic interstitial pneumonia,Other chronic interstitial pneumonia
5180,Bronchiectasis,Bronchiectasis
5190,Other diseases of respiratory system,Pulmonary collapse
5191,Other diseases of respiratory system,Acute oedema of lung
5192,Other diseases of respiratory system,Other diseases of lung
5199,Other diseases of respiratory system,Other
5200,Disorders of tooth development and eruption,Anodontia
5201,Disorders of tooth development and eruption,Supernumerary teeth
5202,Disorders of tooth development and eruption,Abnormalities of size and form
5203,Disorders of tooth development and eruption,Mottled teeth
5204,Disorders of tooth development and eruption,Enamel hypoplasia
5205,Disorders of tooth development and eruption,"Hereditary disturbances in tooth structure, not elsewhere classified"
5206,Disorders of tooth development and eruption,Disturbances in tooth eruption
5207,Disorders of tooth development and eruption,Teething syndrome
5209,Disorders of tooth development and eruption,Other and unspecified
5210,Diseases of hard tissues of the teeth,Dental caries
5211,Diseases of hard tissues of the teeth,Attrition
5212,Diseases of hard tissues of the teeth,Abrasion
5213,Diseases of hard tissues of the teeth,Erosion
5214,Diseases of hard tissues of the teeth,Resorption
5215,Diseases of hard tissues of the teeth,Hypercementosis
5216,Diseases of hard tissues of the teeth,Ankylosis of teeth
5217,Diseases of hard tissues of the teeth,Posteruptive colour changes
5218,Diseases of hard tissues of the teeth,Irradiated enamel
5219,Diseases of hard tissues of the teeth,Other and unspecified
5220,Diseases of pulp and periapical tissues,Pulpitis
5221,Diseases of pulp and periapical tissues,Necrosis of the pulp
5222,Diseases of pulp and periapical tissues,Pulp degenerations
5223,Diseases of pulp and periapical tissues,Abnormal hard tissue formation in pulp
5224,Diseases of pulp and periapical tissues,Acute apical periodontitis
5225,Diseases of pulp and periapical tissues,Periapical abscess
5226,Diseases of pulp and periapical tissues,Chronic apical periodontitis
5227,Diseases of pulp and periapical tissues,Fistula from periapical lesions
5228,Diseases of pulp and periapical tissues,Radicular cyst
5229,Diseases of pulp and periapical tissues,Other and unspecified
5230,Periodontal diseases,Acute gingivitis
5231,Periodontal diseases,Chronic gingivitis
5232,Periodontal diseases,Gingival recession
5233,Periodontal diseases,Acute periodontitis
5234,Periodontal diseases,Chronic periodontitis
5235,Periodontal diseases,Periodontosis
5236,Periodontal diseases,Accretions on teeth
5239,Periodontal diseases,Other and unspecified
5240,Dento-facial anomalies including malocclusion,Major anomalies of jaw size
5241,Dento-facial anomalies including malocclusion,Anomalies of relationship of jaw to cranial base
5242,Dento-facial anomalies including malocclusion,Anomalies of dental arch relationship
5243,Dento-facial anomalies including malocclusion,Anomalies of tooth position
5244,Dento-facial anomalies including malocclusion,"Malocclusion, unspecified"
5245,Dento-facial anomalies including malocclusion,Dento-facial functional abnormalities
5249,Dento-facial anomalies including malocclusion,Other and unspecified
5250,Other diseases and conditions of the teeth and supporting structures,Acquired absence of teeth
5251,Other diseases and conditions of the teeth and supporting structures,Atrophy of edentulous alveoler ridge
5259,Other diseases and conditions of the teeth and supporting structures,Other and unspecified
5260,Diseases of the jaws,Developmental dental cysts
5261,Diseases of the jaws,Fissural cysts of jaw
5262,Diseases of the jaws,Other cysts of jaws
5263,Diseases of the jaws,Reparative giant cell granuloma
5264,Diseases of the jaws,Inflammatory conditions
5265,Diseases of the jaws,Alveolitis of jaw
5269,Diseases of the jaws,Other and unspecified
5270,Diseases of the salivary glands,Atrophy
5271,Diseases of the salivary glands,Hypertrophy
5272,Diseases of the salivary glands,Sialoadenitis
5273,Diseases of the salivary glands,Abscess
5274,Diseases of the salivary glands,Fistula
5275,Diseases of the salivary glands,Sialolithiasis
5276,Diseases of the salivary glands,Mucocele
5277,Diseases of the salivary glands,Disturbance of salivary secretion
5278,Diseases of the salivary glands,Sialosis
5279,Diseases of the salivary glands,Other and unspecified
5280,"Diseases of the oral soft tissues, excluding gingiva and tongue",Stomatitis
5281,"Diseases of the oral soft tissues, excluding gingiva and tongue",Cancrum oris
5282,"Diseases of the oral soft tissues, excluding gingiva and tongue",Apthous ulcerations
5283,"Diseases of the oral soft tissues, excluding gingiva and tongue",Cellulitis and abscess
5284,"Diseases of the oral soft tissues, excluding gingiva and tongue",Cysts
5285,"Diseases of the oral soft tissues, excluding gingiva and tongue",Diseases of lips
5286,"Diseases of the oral soft tissues, excluding gingiva and tongue",Leukoplakia of oral mucosa
5287,"Diseases of the oral soft tissues, excluding gingiva and tongue",Other disturbances of keratinization
5288,"Diseases of the oral soft tissues, excluding gingiva and tongue",Oral submucous fibrosis
5289,"Diseases of the oral soft tissues, excluding gingiva and tongue",Other and unspecified
5290,Diseases of the tongue and other oral conditions,Glossitis
5291,Diseases of the tongue and other oral conditions,Geographic tongue
5292,Diseases of the tongue and other oral conditions,Median rhomboid glossitis
5293,Diseases of the tongue and other oral conditions,Hypertrophy of tongue papillae
5294,Diseases of the tongue and other oral conditions,Atrophy of tongue papillae
5295,Diseases of the tongue and other oral conditions,Plicated tongue
5296,Diseases of the tongue and other oral conditions,Glossodynia
5297,Diseases of the tongue and other oral conditions,Leukoplakia of tongue and other disturbances of keratinisation
