date_period,measure,cdid,value,unit,source_dataset,pre_unit,category,population,value_per_capita
1804,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",403.0,393,PublicFinances1800-2023,,Economic Indicators,,
1804,Nominal GDP (£m)3,Nominal GDP (£m)3,386.0,355,PublicFinances1800-2023,,Economic Indicators,,
1804,Other Central Government Receipts6,Residual,6.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1804,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1804,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1804,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1804,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1804,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1804,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1804,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",14.0,21,PublicFinances1800-2023,,Fiscal Position,,
1804,Public sector net debt (PSND)2,Public sector net debt (PSND)2,603.0,508,PublicFinances1800-2023,,Fiscal Position,,
1804,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1804,Stamp duties,GTBC,4.0,3,PublicFinances1800-2023,,Tax Receipts,,
1804,Total Central Government spending1,ANLP + ANNS + NSRN,55.0,50,PublicFinances1800-2023,,Government Spending,,
1804,Unit,Source dataset ID,1804.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1804,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
1804,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1804,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1804,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1805,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1805,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1805,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1805,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1805,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1805,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,34.0,18,PublicFinances1800-2023,,Tax Receipts,,
1805,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1805,Debt Interest9,NMFX,21.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1805,Defence5,,36.0,32,PublicFinances1800-2023,,Government Spending,,
1805,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1805,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1805,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1805,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1805,Income tax1,LIBR-MS62,5.0,5,PublicFinances1800-2023,,Tax Receipts,,
1805,"Index, base year = 100",MM23,13.1,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1805,Land and Assessed Taxes,,6.0,5,PublicFinances1800-2023,,Tax Receipts,,
1805,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
