icd_version,icd_code,cause_description,l1_category_code,l1_category_name,first_year,last_year,years_active,total_deaths,avg_deaths_per_year,max_population,deaths_per_100k
ICD-10,I671,"Dissection of cerebral arteries, nonruptured",L1_01,Infectious and Communicable Diseases,2001,2017,17,700,41.1764705882353,4148985,0.9924468415343825
ICD-10,I672,"Cerebral aneurysm, nonruptured",L1_05,Chronic Non-Communicable Diseases,2001,2017,17,3888,228.7058823529412,4148985,5.512333314122398
ICD-10,I673,Cerebral atherosclerosis,L1_01,Infectious and Communicable Diseases,2001,2017,15,52,3.466666666666667,4148985,0.08355457218251372
ICD-10,I674,Progressive vascular leukoencephalopathy,L1_01,Infectious and Communicable Diseases,2001,2017,17,50,2.9411764705882355,4148985,0.07088906010959875
ICD-10,I675,Hypertensive encephalopathy,L1_01,Infectious and Communicable Diseases,2002,2017,16,39,2.4375,4148985,0.05874930856582996
ICD-10,I676,Moyamoya disease,L1_01,Infectious and Communicable Diseases,2005,2005,1,1,1.0,4127882,0.024225498694003363
ICD-10,I677,Nonpyogenic thrombosis of intracranial venous system,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,193,11.352941176470589,4148985,0.27363177202305117
ICD-10,I678,"Cerebral arteritis, not elsewhere classified",L1_01,Infectious and Communicable Diseases,2001,2017,17,3595,211.47058823529412,4148985,5.096923421880149
ICD-10,I679,Other cerebrovascular disease,L1_01,Infectious and Communicable Diseases,2001,2017,17,135609,7977.0,4148985,192.2638910480515
ICD-10,I690,Other cerebrovascular disorders in diseases classified elsewhere,L1_01,Infectious and Communicable Diseases,2001,2017,17,155,9.117647058823529,4148985,0.21975608633975607
ICD-10,I691,Other sequelae following nontraumatic subarachnoid hemorrhage,L1_01,Infectious and Communicable Diseases,2001,2017,17,300,17.647058823529413,4148985,0.42533436065759245
ICD-10,I692,Other sequelae of nontraumatic intracerebral hemorrhage,L1_01,Infectious and Communicable Diseases,2001,2017,17,179,10.529411764705882,4148985,0.2537828351923635
ICD-10,I693,Other sequelae of other nontraumatic intracranial hemorrhage,L1_01,Infectious and Communicable Diseases,2001,2017,17,1354,79.6470588235294,4148985,1.9196757477679336
ICD-10,I694,Ataxia following cerebral infarction,L1_01,Infectious and Communicable Diseases,2001,2017,17,6220,365.88235294117646,4148985,8.818599077634083
ICD-10,I698,Other sequelae of cerebral infarction,L1_01,Infectious and Communicable Diseases,2001,2017,17,12278,722.2352941176471,4148985,17.407517600513067
ICD-10,I700,Other sequelae following unspecified cerebrovascular disease,L1_01,Infectious and Communicable Diseases,2001,2017,17,296,17.41176470588235,4148985,0.4196632358488245
ICD-10,I701,Atherosclerosis of aorta,L1_01,Infectious and Communicable Diseases,2001,2017,17,276,16.235294117647058,4148985,0.391307611804985
