year,age_group,sex,population
2002,75-84,Male,1199593
2002,85+,Male,284793
2003,0-4,Female,1477045
2003,5-14,Female,3274288
2003,15-24,Female,3299780
2003,25-34,Female,3621849
2003,35-44,Female,4055259
2003,45-54,Female,3391363
2003,55-64,Female,3039330
2003,65-74,Female,2335838
2003,75-84,Female,1803927
2003,85+,Female,710450
2003,0-4,Male,1550518
2003,5-14,Male,3434559
2003,15-24,Male,3375610
2003,25-34,Male,3604344
2003,35-44,Male,4010893
2003,45-54,Male,3333028
2003,55-64,Male,2953766
2003,65-74,Male,2084417
2003,75-84,Male,1225568
2003,85+,Male,281406
2004,0-4,Female,1478511
2004,5-14,Female,3255494
2004,15-24,Female,3363103
2004,25-34,Female,3577480
2004,35-44,Female,4101148
2004,45-54,Female,3398149
2004,55-64,Female,3106226
2004,65-74,Female,2342507
2004,75-84,Female,1809680
2004,85+,Female,707609
2004,0-4,Male,1556816
2004,5-14,Male,3417970
2004,15-24,Male,3444565
2004,25-34,Male,3557594
2004,35-44,Male,4039788
2004,45-54,Male,3344105
2004,55-64,Male,3018877
2004,65-74,Male,2100477
2004,75-84,Male,1243376
2004,85+,Male,288547
2005,0-4,Female,1495919
2005,5-14,Female,3227770
2005,15-24,Female,3431973
2005,25-34,Female,3595829
2005,35-44,Female,4127882
2005,45-54,Female,3427886
2005,55-64,Female,3162082
2005,65-74,Female,2344032
2005,75-84,Female,1789965
2005,85+,Female,737607
2005,0-4,Male,1571348
2005,5-14,Male,3389617
2005,15-24,Male,3496395
2005,25-34,Male,3566556
2005,35-44,Male,4076956
2005,45-54,Male,3380768
2005,55-64,Male,3076601
2005,65-74,Male,2114177
2005,75-84,Male,1250559
2005,85+,Male,311421
2006,0-4,Female,1524286
2006,5-14,Female,3189250
2006,15-24,Female,3485322
2006,25-34,Female,3594630
2006,35-44,Female,4146452
2006,45-54,Female,3484283
2006,55-64,Female,3223700
2006,65-74,Female,2326578
2006,75-84,Female,1771363
2006,85+,Female,771640
2006,0-4,Male,1599648
2006,5-14,Male,3343182
2006,15-24,Male,3553903
2006,25-34,Male,3565254
2006,35-44,Male,4087812
2006,45-54,Male,3438673
2006,55-64,Male,3136036
2006,65-74,Male,2111379
2006,75-84,Male,1263284
2006,85+,Male,334179
2007,0-4,Female,1567316
2007,5-14,Female,3154297
2007,15-24,Female,3533427
2007,25-34,Female,3597883
2007,35-44,Female,4148985
2007,45-54,Female,3557495
2007,55-64,Female,3266114
2007,65-74,Female,2335173
2007,75-84,Female,1759775
2007,85+,Female,797859
2007,0-4,Male,1646177
2007,5-14,Male,3307289
2007,15-24,Male,3618468
2007,25-34,Male,3576001
2007,35-44,Male,4087666
2007,45-54,Male,3503567
2007,55-64,Male,3167665
2007,65-74,Male,2128996
2007,75-84,Male,1279404
2007,85+,Male,353835
2008,0-4,Female,1616971
2008,5-14,Female,3129980
2008,15-24,Female,3569909
2008,25-34,Female,3624999
2008,35-44,Female,4112702
2008,45-54,Female,3641132
2008,55-64,Female,3286418
2008,65-74,Female,2379482
2008,75-84,Female,1752166
2008,85+,Female,813640
2008,0-4,Male,1695081
2008,5-14,Male,3283546
2008,15-24,Male,3636871
2008,25-34,Male,3622627
2008,35-44,Male,4059185
2008,45-54,Male,3584468
2008,55-64,Male,3189449
2008,65-74,Male,2178181
2008,75-84,Male,1296338
2008,85+,Male,368575
2009,0-4,Female,1653378
2009,5-14,Female,3115069
2009,15-24,Female,3584085
2009,25-34,Female,3657249
2009,35-44,Female,4064144
2009,45-54,Female,3727687
2009,55-64,Female,3300758
2009,65-74,Female,2437614
2009,75-84,Female,1747709
2009,85+,Female,825880
2009,0-4,Male,1731083
2009,5-14,Male,3271092
2009,15-24,Male,3643646
2009,25-34,Male,3659113
2009,35-44,Male,4008022
2009,45-54,Male,3670389
2009,55-64,Male,3201654
2009,65-74,Male,2241047
2009,75-84,Male,1313642
2009,85+,Male,381992
2010,0-4,Female,1687030
2010,5-14,Female,3116431
2010,15-24,Female,3585680
2010,25-34,Female,3715718
2010,35-44,Female,3999312
2010,45-54,Female,3819866
2010,55-64,Female,3311097
2010,65-74,Female,2489179
2010,75-84,Female,1754097
2010,85+,Female,841276
2010,0-4,Male,1769017
2010,5-14,Male,3269364
2010,15-24,Male,3680671
2010,25-34,Male,3703021
2010,35-44,Male,3940454
2010,45-54,Male,3759960
2010,55-64,Male,3213932
2010,65-74,Male,2298337
2010,75-84,Male,1340473
2010,85+,Male,397508
2011,0-4,Female,1711878
2011,5-14,Female,3122454
2011,15-24,Female,3604024
2011,25-34,Female,3774568
2011,35-44,Female,3926247
2011,45-54,Female,3904728
2011,55-64,Female,3328061
2011,65-74,Female,2542016
2011,75-84,Female,1764744
2011,85+,Female,854570
2011,0-4,Male,1795323
2011,5-14,Male,3275533
2011,15-24,Male,3725967
2011,25-34,Male,3772674
2011,35-44,Male,3871195
2011,45-54,Male,3832960
2011,55-64,Male,3229255
2011,65-74,Male,2352858
2011,75-84,Male,1367793
2011,85+,Male,414079
2012,0-4,Female,1744133
2012,5-14,Female,3138049
2012,15-24,Female,3589826
2012,25-34,Female,3824375
2012,35-44,Female,3851457
2012,45-54,Female,3975055
2012,55-64,Female,3275927
2012,65-74,Female,2677192
2012,75-84,Female,1782742
2012,85+,Female,865656
2012,0-4,Male,1829072
2012,5-14,Male,3292197
2012,15-24,Male,3730541
2012,25-34,Male,3806187
2012,35-44,Male,3796383
2012,45-54,Male,3897719
2012,55-64,Male,3174489
2012,65-74,Male,2485438
2012,75-84,Male,1399576
2012,85+,Male,431782
2013,0-4,Female,1752396
2013,5-14,Female,3174154
2013,15-24,Female,3557947
2013,25-34,Female,3879010
2013,35-44,Female,3789024
2013,45-54,Female,4030159
2013,55-64,Female,3268262
2013,65-74,Female,2774490
2013,75-84,Female,1803360
2013,85+,Female,870231
2013,0-4,Male,1840511
2013,5-14,Male,3330126
2013,15-24,Male,3710464
2013,25-34,Male,3858683
2013,35-44,Male,3742072
2013,45-54,Male,3943661
2013,55-64,Male,3165951
2013,65-74,Male,2578576
2013,75-84,Male,1434218
2013,85+,Male,444934
2014,0-4,Female,1759813
2014,5-14,Female,3214960
2014,15-24,Female,3538149
2014,25-34,Female,3905840
2014,35-44,Female,3755000
2014,45-54,Female,4081599
2014,55-64,Female,3292519
2014,65-74,Female,2849812
2014,75-84,Female,1827311
2014,85+,Female,889140
2014,0-4,Male,1848819
2014,5-14,Male,3371875
2014,15-24,Male,3705247
2014,25-34,Male,3893924
2014,35-44,Male,3712711
2014,45-54,Male,3987523
2014,55-64,Male,3188220
2014,65-74,Male,2651509
2014,75-84,Male,1469441
2014,85+,Male,465242
2015,0-4,Female,1760136
2015,5-14,Female,3271461
2015,15-24,Female,3516313
2015,25-34,Female,3927723
2015,35-44,Female,3754387
2015,45-54,Female,4116650
2015,55-64,Female,3334140
2015,65-74,Female,2917683
2015,75-84,Female,1837553
2015,85+,Female,894520
2015,0-4,Male,1850466
2015,5-14,Male,3431053
2015,15-24,Male,3689438
2015,25-34,Male,3935293
2015,35-44,Male,3713542
2015,45-54,Male,4017466
2015,55-64,Male,3231000
2015,65-74,Male,2714169
2015,75-84,Male,1492350
2015,85+,Male,480070
2016,0-4,Female,1755979
2016,5-14,Female,3341011
2016,15-24,Female,3473164
2016,25-34,Female,3951774
2016,35-44,Female,3742256
2016,45-54,Female,4147050
2016,55-64,Female,3399805
2016,65-74,Female,2986641
2016,75-84,Female,1839644
2016,85+,Female,908935
2016,0-4,Male,1846328
2016,5-14,Male,3507431
2016,15-24,Male,3659770
2016,25-34,Male,3993125
2016,35-44,Male,3706239
2016,45-54,Male,4043747
2016,55-64,Male,3296060
2016,65-74,Male,2779339
2016,75-84,Male,1503127
2016,85+,Male,499792
