year,age_group,sex,population
1929,75-84,Male,189000
1929,85+,Male,113000
1930,0-4,Female,1511000
1930,5-14,Female,3241000
1930,15-24,Female,3532000
1930,25-34,Female,3325000
1930,35-44,Female,2939000
1930,45-54,Female,2610000
1930,55-64,Female,1913000
1930,65-74,Female,1163000
1930,75-84,Female,293000
1930,85+,Female,202000
1930,0-4,Male,1545000
1930,5-14,Male,3310000
1930,15-24,Male,3446000
1930,25-34,Male,3001000
1930,35-44,Male,2504000
1930,45-54,Male,2297000
1930,55-64,Male,1719000
1930,65-74,Male,940000
1930,75-84,Male,199000
1930,85+,Male,111000
1931,0-4,Female,1489100
1931,5-14,Female,3234100
1931,15-24,Female,3499500
1931,25-34,Female,3353700
1931,35-44,Female,2959200
1931,45-54,Female,2625900
1931,55-64,Female,1972100
1931,65-74,Female,1184500
1931,75-84,Female,299400
1931,85+,Female,210500
1931,0-4,Male,1522700
1931,5-14,Male,3299700
1931,15-24,Male,3403900
1931,25-34,Male,3089100
1931,35-44,Male,2513000
1931,45-54,Male,2287800
1931,55-64,Male,1766300
1931,65-74,Male,955300
1931,75-84,Male,205900
1931,85+,Male,116300
1932,0-4,Female,1470300
1932,5-14,Female,3234600
1932,15-24,Female,3440000
1932,25-34,Female,3393200
1932,35-44,Female,2980200
1932,45-54,Female,2648400
1932,55-64,Female,2013900
1932,65-74,Female,1215600
1932,75-84,Female,308900
1932,85+,Female,215900
1932,0-4,Male,1507800
1932,5-14,Male,3298800
1932,15-24,Male,3360100
1932,25-34,Male,3175600
1932,35-44,Male,2528300
1932,45-54,Male,2296700
1932,55-64,Male,1800900
1932,65-74,Male,981300
1932,75-84,Male,211300
1932,85+,Male,119200
1933,0-4,Female,1447000
1933,5-14,Female,3259700
1933,15-24,Female,3343000
1933,25-34,Female,3432900
1933,35-44,Female,3001600
1933,45-54,Female,2666400
1933,55-64,Female,2056500
1933,65-74,Female,1247200
1933,75-84,Female,318200
1933,85+,Female,220500
1933,0-4,Male,1486600
1933,5-14,Male,3323800
1933,15-24,Male,3271300
1933,25-34,Male,3251100
1933,35-44,Male,2541900
1933,45-54,Male,2302300
1933,55-64,Male,1833000
1933,65-74,Male,1008400
1933,75-84,Male,216100
1933,85+,Male,122000
1934,0-4,Female,1415400
1934,5-14,Female,3284800
1934,15-24,Female,3245800
1934,25-34,Female,3465300
1934,35-44,Female,3024300
1934,45-54,Female,2682200
1934,55-64,Female,2098400
1934,65-74,Female,1280400
1934,75-84,Female,328700
1934,85+,Female,229700
1934,0-4,Male,1456500
1934,5-14,Male,3344900
1934,15-24,Male,3181500
1934,25-34,Male,3309000
1934,35-44,Male,2565200
1934,45-54,Male,2307000
1934,55-64,Male,1860500
1934,65-74,Male,1036900
1934,75-84,Male,223600
1934,85+,Male,126900
1935,0-4,Female,1393500
1935,5-14,Female,3174500
1935,15-24,Female,3292900
1935,25-34,Female,3490000
1935,35-44,Female,3052600
1935,45-54,Female,2701400
1935,55-64,Female,2143600
1935,65-74,Female,1316700
1935,75-84,Female,339500
1935,85+,Female,240300
1935,0-4,Male,1439000
1935,5-14,Male,3228200
1935,15-24,Male,3240200
1935,25-34,Male,3345600
1935,35-44,Male,2611900
1935,45-54,Male,2315700
1935,55-64,Male,1887700
1935,65-74,Male,1068600
1935,75-84,Male,230800
1935,85+,Male,132300
1936,0-4,Female,1374600
1936,5-14,Female,3092100
1936,15-24,Female,3322600
1936,25-34,Female,3511300
1936,35-44,Female,3088900
1936,45-54,Female,2721300
1936,55-64,Female,2185200
1936,65-74,Female,1353700
1936,75-84,Female,350600
1936,85+,Female,247700
1936,0-4,Male,1423500
1936,5-14,Male,3145300
1936,15-24,Male,3276200
1936,25-34,Male,3358900
1936,35-44,Male,2672900
1936,45-54,Male,2330300
1936,55-64,Male,1914600
1936,65-74,Male,1098400
1936,75-84,Male,236100
1936,85+,Male,135400
1937,0-4,Female,1369100
1937,5-14,Female,3020400
1937,15-24,Female,3332700
1937,25-34,Female,3517400
1937,35-44,Female,3120600
1937,45-54,Female,2738700
1937,55-64,Female,2222400
1937,65-74,Female,1389800
1937,75-84,Female,360500
1937,85+,Female,254400
1937,0-4,Male,1420400
1937,5-14,Male,3073500
1937,15-24,Male,3307700
1937,25-34,Male,3378300
1937,35-44,Male,2742200
1937,45-54,Male,2342600
1937,55-64,Male,1932600
1937,65-74,Male,1127200
1937,75-84,Male,242700
1937,85+,Male,137800
1938,0-4,Female,1380500
1938,5-14,Female,2962700
1938,15-24,Female,3319300
1938,25-34,Female,3518500
1938,35-44,Female,3155200
1938,45-54,Female,2759700
1938,55-64,Female,2258800
1938,65-74,Female,1431100
1938,75-84,Female,371300
1938,85+,Female,265900
1938,0-4,Male,1433700
1938,5-14,Male,3011000
1938,15-24,Male,3302500
1938,25-34,Male,3386500
1938,35-44,Male,2808000
1938,45-54,Male,2352700
1938,55-64,Male,1946900
1938,65-74,Male,1158700
1938,75-84,Male,248900
1938,85+,Male,143100
1939,0-4,Female,1403800
1939,5-14,Female,2906000
