cause,icd_version,cause_description,level1_code,level1_name
104H,ICD-2 (1911-1920),Duodenal ulcer - under 2yrs old,,
105A,ICD-2 (1911-1920),Infective enteritis - over 2yrs old,,
105B,ICD-2 (1911-1920),Diarrhoea - not returned as infective - over 2yrs old,,
105C,ICD-2 (1911-1920),Enteritis - not returned as infective - over 2yrs old,,
105D,ICD-2 (1911-1920),Gastro-enteritis - not returned as infective - over 2yrs old,,
105F,ICD-2 (1911-1920),Colic - over 2yrs old,,
105G,ICD-2 (1911-1920),Ulceration of intestines - over 2yrs old,,
105H,ICD-2 (1911-1920),Duodenal ulcer - over 2yrs old,,
106.0,ICD-2 (1911-1920),,,
107.0,ICD-2 (1911-1920),,,
108.0,ICD-2 (1911-1920),,,
109A,ICD-2 (1911-1920),Hernia,,
109B,ICD-2 (1911-1920),Intestinal obstruction,,
110.0,ICD-2 (1911-1920),,,
111.0,ICD-2 (1911-1920),,,
112.0,ICD-2 (1911-1920),,,
113A,ICD-2 (1911-1920),Cirrhosis of liver (not alcoholic),,
113B,ICD-2 (1911-1920),Cirrhosis of liver (alcoholic),,
113C,ICD-2 (1911-1920),"Diseases formerly classed to ""Other diseases of liver & gall bladder""",,
114.0,ICD-2 (1911-1920),,,
115.0,ICD-2 (1911-1920),,,
116A,ICD-2 (1911-1920),Infarction of spleen,,
116B,ICD-2 (1911-1920),Other diseases of spleen,,
117.0,ICD-2 (1911-1920),,,
118A,ICD-2 (1911-1920),"Abdominal abscess, sub phrenic abscess",,
118B,ICD-2 (1911-1920),Other diseases of digestive system,,
119.0,ICD-2 (1911-1920),,,
120A,ICD-2 (1911-1920),Bright's disease (as 1901 list),,
120B,ICD-2 (1911-1920),"Nephritis (unqualified), >10yrs & uraemia",,
121.0,ICD-2 (1911-1920),,,
122A,ICD-2 (1911-1920),Abscess of kidney,,
122B,ICD-2 (1911-1920),Cystic disease,,
122C,ICD-2 (1911-1920),Suppression of urine,,
122D,ICD-2 (1911-1920),Other diseases of kidney & annexa,,
123.0,ICD-2 (1911-1920),,,
124.0,ICD-2 (1911-1920),,,
125A,ICD-2 (1911-1920),Perineal abscess,,
125B,ICD-2 (1911-1920),"Other diseases of urethra, etc.",,
126.0,ICD-2 (1911-1920),,,
127.0,ICD-2 (1911-1920),,,
128A,ICD-2 (1911-1920),Menorrhagia,,
128B,ICD-2 (1911-1920),Other uterine haemorrhage,,
